Time,Signal
-0.000376,2.4
-0.000372,2.8
-0.000368,2.4
-0.000364,2.8
-0.00036,2.8
-0.000356,2.4
-0.000352,2.8
-0.000348,2.8
-0.000344,2.4
-0.00034,2.8
-0.000336,2.8
-0.000332,2.8
-0.000328,2.8
-0.000324,2.8
-0.00032,2.4
-0.000316,2.4
-0.000312,2.4
-0.000308,2.4
-0.000304,2.8
-0.0003,2.8
-0.000296,2.8
-0.000292,2.8
-0.000288,2.8
-0.000284,2.8
-0.00028,2.8
-0.000276,2.8
-0.000272,2.8
-0.000268,2.4
-0.000264,2.8
-0.00026,2.8
-0.000256,2.8
-0.000252,2.8
-0.000248,2.4
-0.000244,2.8
-0.00024,2.8
-0.000236,2.8
-0.000232,2.8
-0.000228,2.8
-0.000224,2.8
-0.00022,2.8
-0.000216,2.4
-0.000212,2.8
-0.000208,2.8
-0.000204,2.8
-0.0002,2.8
-0.000196,2.4
-0.000192,2.8
-0.000188,2.8
-0.000184,2.8
-0.00018,2.8
-0.000176,2.8
-0.000172,2.8
-0.000168,3.2
-0.000164,2.8
-0.00016,2.8
-0.000156,2.8
-0.000152,2.8
-0.000148,2.8
-0.000144,2.8
-0.00014,2.8
-0.000136,2.8
-0.000132,2.8
-0.000128,3.2
-0.000124,3.2
-0.00012,2.8
-0.000116,2.8
-0.000112,3.2
-0.000108,3.2
-0.000104,2.8
-0.0001,2.8
-9.6e-05,3.2
-9.2e-05,2.8
-8.8e-05,3.2
-8.4e-05,3.2
-8e-05,2.8
-7.6e-05,2.8
-7.2e-05,3.2
-6.8e-05,2.8
-6.4e-05,2.8
-6e-05,2.8
-5.6e-05,3.2
-5.2e-05,3.2
-4.8e-05,3.2
-4.4e-05,3.2
-4e-05,3.2
-3.6e-05,3.2
-3.2e-05,3.2
-2.8e-05,3.2
-2.4e-05,3.2
-2e-05,3.2
-1.6e-05,3.2
-1.2e-05,3.2
-8e-06,3.2
-4e-06,3.2
-0.0,3.2
4e-06,3.2
8e-06,3.2
1.2e-05,3.2
1.6e-05,3.2
2e-05,3.2
2.4e-05,3.2
2.8e-05,3.2
3.2e-05,3.2
3.6e-05,3.2
4e-05,3.2
4.4e-05,3.2
4.8e-05,3.2
5.2e-05,3.2
5.6e-05,3.2
6e-05,3.2
6.4e-05,3.2
6.8e-05,3.6
7.2e-05,3.2
7.6e-05,3.2
8e-05,3.2
8.4e-05,3.2
8.8e-05,3.6
9.2e-05,3.2
9.6e-05,3.2
0.0001,3.2
0.000104,3.2
0.000108,3.2
0.000112,3.6
0.000116,3.2
0.00012,3.2
0.000124,3.6
0.000128,3.6
0.000132,3.2
0.000136,3.6
0.00014,3.6
0.000144,3.2
0.000148,3.6
0.000152,3.6
0.000156,3.6
0.00016,3.2
0.000164,3.6
0.000168,3.6
0.000172,3.6
0.000176,3.6
0.00018,3.6
0.000184,3.2
0.000188,3.6
0.000192,3.6
0.000196,3.2
0.0002,3.6
0.000204,3.6
0.000208,3.6
0.000212,4.0
0.000216,3.6
0.00022,3.6
0.000224,3.6
0.000228,3.6
0.000232,3.6
0.000236,4.0
0.00024,4.0
0.000244,3.6
0.000248,3.6
0.000252,3.6
0.000256,3.6
0.00026,3.6
0.000264,3.6
0.000268,3.6
0.000272,3.6
0.000276,3.6
0.00028,3.6
0.000284,4.0
0.000288,4.0
0.000292,3.6
0.000296,3.6
0.0003,4.0
0.000304,4.0
0.000308,4.0
0.000312,4.0
0.000316,3.6
0.00032,3.6
0.000324,4.0
0.000328,4.0
0.000332,4.0
0.000336,4.0
0.00034,4.0
0.000344,4.0
0.000348,4.0
0.000352,4.0
0.000356,4.0
0.00036,3.6
0.000364,4.0
0.000368,4.0
0.000372,4.0
0.000376,4.0
0.00038,4.0
0.000384,3.6
0.000388,4.0
0.000392,4.0
0.000396,3.6
0.0004,4.0
0.000404,4.0
0.000408,4.0
0.000412,4.0
0.000416,4.0
0.00042,4.0
0.000424,4.0
0.000428,4.0
0.000432,4.0
0.000436,3.6
0.00044,4.4
0.000444,4.0
0.000448,4.0
0.000452,4.0
0.000456,3.6
0.00046,4.0
0.000464,4.0
0.000468,4.0
